"Id","SalePrice"
1461,115030.124213217
1462,162238.941074844
1463,181801.516888049
1464,194189.942768973
1465,199721.297900665
1466,168640.34841258
1467,176819.472281756
1468,163474.083155588
1469,195723.797543189
1470,121022.128602681
1471,192866.072401802
1472,93400.4836475103
1473,92644.6662978306
1474,150509.971076113
1475,111206.487435713
1476,360809.724454652
1477,254662.110011274
1478,290414.126864915
1479,289071.226935256
1480,470322.563333847
1481,346077.902295236
1482,220554.593400454
1483,178544.57096656
1484,167979.249035005
1485,192277.54092054
1486,197042.855205814
1487,329246.596429923
1488,235257.58226712
1489,196803.334865744
1490,227271.0272107
1491,196519.006449771
1492,91816.4041182625
1493,191996.802118219
1494,298981.266120567
1495,297407.685860288
1496,230610.415572767
1497,181690.073179294
1498,167079.496641735
1499,162033.250111646
1500,156966.376080427
1501,173577.552787602
1502,150239.649642543
1503,286971.419646029
1504,244781.644372754
1505,225153.413752161
1506,197416.292662084
1507,241894.991758769
1508,201536.513354835
1509,160017.834497404
1510,145375.427869224
1511,145969.08549937
1512,180741.018314849
1513,143808.953320185
1514,163285.162609261
1515,188147.188837491
1516,155879.573887017
1517,170864.626247198
1518,136898.936680361
1519,211852.822278882
1520,131379.166942552
1521,130553.206076549
1522,175911.985994146
1523,110842.427439456
1524,123609.115041464
1525,117695.074360363
1526,118737.244571156
1527,102994.071970116
1528,136538.09229196
1529,148380.051793144
1530,179783.993698783
1531,107594.860872295
1532,102604.6599693
1533,156991.586167693
1534,121604.744516744
1535,153772.022221817
1536,112148.665691296
1537,67197.6217220173
1538,159322.893871136
1539,199966.285567316
1540,95811.6291744226
1541,140118.004444085
1542,142576.530348156
1543,193120.019419625
1544,87161.3677029257
1545,115555.232043295
1546,134536.849604701
1547,133231.187002672
1548,139070.69302297
1549,117205.915158148
1550,136697.462910478
1551,114578.392065021
1552,133699.534542135
1553,153593.329660803
1554,119168.846625859
1555,166966.410077399
1556,88472.6522167983
1557,107840.132897965
1558,93406.2597613349
1559,85156.3891041573
1560,139125.313211739
1561,133243.912121589
1562,131588.32028343
1563,121487.618592947
1564,162058.618379816
1565,147828.490893607
1566,239392.465341338
1567,74956.7065142106
1568,239909.552839429
1569,132528.021969835
1570,141892.605211902
1571,122980.155197751
1572,144248.420119616
1573,228274.181160207
1574,126200.417111915
1575,226154.316708264
1576,244386.725442011
1577,185660.495634532
1578,142759.625932113
1579,145118.329768977
1580,193898.808020814
1581,159747.501600807
1582,126508.981436838
1583,307889.15640929
1584,219803.247394993
1585,141971.94516808
1586,62638.6665162745
1587,100404.998006182
1588,151195.95227353
1589,97216.5023450929
1590,135785.338593267
1591,96397.085465697
1592,114787.033619816
1593,124021.202389226
1594,131307.208290988
1595,113425.983810424
1596,233942.580435461
1597,195890.731654446
1598,224780.117734346
1599,169268.52488725
1600,172059.536398838
1601,60957.0655058632
1602,107232.197461473
1603,78174.0942917197
1604,268849.851292638
1605,246917.30152274
1606,171560.755443282
1607,174796.121726463
1608,220750.18541774
1609,186350.44997482
1610,148904.703159569
1611,143996.235029585
1612,168666.53083341
1613,161300.569728982
1614,122714.969244144
1615,91070.7633639396
1616,77420.8584208677
1617,89338.328682502
1618,120638.946015366
1619,137602.881863504
1620,169808.340451415
1621,133281.018254665
1622,140201.930279943
1623,277069.925626998
1624,213587.503371795
1625,118073.69758178
1626,166787.61890486
1627,183386.41771469
1628,273863.794052679
1629,178920.923011577
1630,348785.574274259
1631,230151.782223955
1632,252201.000665195
1633,172952.486295552
1634,186890.769443104
1635,180084.68173683
1636,153301.984798654
1637,196756.258600735
1638,189644.229090585
1639,181415.132188642
1640,259802.802850158
1641,179928.811558569
1642,235675.32399013
1643,217900.765713999
1644,233426.720550043
1645,198988.186253801
1646,158439.696795784
1647,154041.383374993
1648,132459.953519011
1649,140515.858483391
1650,113014.267306438
1651,114365.715751341
1652,97520.4665104039
1653,99497.9452014473
1654,146097.272856603
1655,141573.377043516
1656,144871.304168102
1657,149685.777646531
1658,146194.23191189
1659,117443.46057825
1660,151307.413987626
1661,439483.64647417
1662,387545.339667451
1663,369258.297797635
1664,495246.163687877
1665,293877.0161483
1666,322435.692246114
1667,355949.953888052
1668,326785.832762823
1669,297781.676901689
1670,330064.519688292
1671,264354.592389438
1672,422008.324324135
1673,294653.453570242
1674,242860.932309484
1675,196488.966980561
1676,197882.058740917
1677,225394.66853695
1678,449178.001811697
1679,385805.037179615
1680,336402.723720537
1681,242579.916044989
1682,312051.779477216
1683,187415.248693755
1684,177776.712291399
1685,175267.107862529
1686,173154.222043731
1687,172596.8758612
1688,192176.055249094
1689,193393.374057287
1690,198006.759878079
1691,187413.952136662
1692,256714.42866841
1693,173456.931284447
1694,181110.103463301
1695,162887.980866552
1696,270447.945815553
1697,167280.230215228
1698,347744.001229031
1699,323086.44452056
1700,250876.93588493
1701,275389.094495816
1702,246318.675387686
1703,252909.097847525
1704,276808.956545265
1705,232305.417975405
1706,393103.036559515
1707,209128.444979726
1708,202635.812005999
1709,266613.972622864
1710,222500.813425121
1711,261108.784983498
1712,254262.07313021
1713,262618.454180128
1714,226308.98293265
1715,208267.544779957
1716,183690.041061822
1717,180302.192628841
1718,139453.378266714
1719,204533.447332017
1720,230728.893174141
1721,160829.211159262
1722,127630.366301411
1723,151427.919963209
1724,206045.195342691
1725,239926.390419967
1726,189323.646870827
1727,158613.043989718
1728,172028.779722213
1729,166123.756270454
1730,156574.208935523
1731,123848.252715523
1732,124400.931420678
1733,111845.49831328
1734,114388.063080025
1735,125755.378360347
1736,112997.540264889
1737,288518.040533548
1738,248090.803184148
1739,243953.390110217
1740,221347.58210003
1741,187164.787466622
1742,171063.824290576
1743,177847.259492093
1744,302280.472004622
1745,221859.253224719
1746,189955.765590984
1747,218730.41173925
1748,223706.714838361
1749,149226.053292507
1750,130469.624816702
1751,250230.705353641
1752,118274.08071938
1753,152851.860869888
1754,194948.046332877
1755,168930.05110006
1756,123009.877385332
1757,118668.647566022
1758,141908.29828788
1759,163777.014931718
1760,169128.296658025
1761,149068.80426203
1762,174011.871108423
1763,182890.443578367
1764,117087.55338076
1765,165666.935459136
1766,184468.405069809
1767,222236.091063174
1768,143061.444011664
1769,175518.662244379
1770,154757.535050382
1771,125019.619194625
1772,138765.43494446
1773,123216.22352722
1774,147426.169189203
1775,141569.612000019
1776,123127.003546942
1777,104337.489836753
1778,143695.328424119
1779,113333.635163964
1780,179220.815873783
1781,123315.447988468
1782,83088.274883921
1783,141978.598683742
1784,103275.659336099
1785,117875.480499505
1786,148727.502550495
1787,162722.945063667
1788,60450.4238449217
1789,97768.3142248955
1790,77624.7910814463
1791,183425.785820782
1792,157089.132667363
1793,132325.161576632
1794,158339.477458723
1795,132532.550148121
1796,119508.680564102
1797,108853.55751056
1798,120635.327019334
1799,110812.821806233
1800,133460.853011104
1801,128360.249011739
1802,133555.051586921
1803,149040.129248724
1804,145986.088169381
1805,137629.797633277
1806,130687.243319268
1807,130492.061667831
1808,122936.81524344
1809,121881.428825721
1810,137178.71145718
1811,94479.4849373218
1812,95327.6226948016
1813,122363.344562056
1814,92668.5098933939
1815,51490.6320287017
1816,94577.4721709697
1817,108785.43003355
1818,145180.21272914
